_orig_index,transaction_id,timestamp,sender_name,sender_upi_id,receiver_id,receiver_upi_id,amount,status,user_id,hour,dayofweek,is_weekend,is_night,sender_location,receiver_location,upi_creation_date,upi_age_days,transaction_type,device_id,prev_device,device_changed,is_new_receiver,user_tx_count_30d,user_avg_amount_30d,user_std_amount_30d,unique_receivers_30d,pct_night_tx_30d,pct_weekend_tx_30d,amount_over_user_avg,z_amount_user,last_tx_time,time_since_last_tx_minutes,timestamp_f,velocity_1h,velocity_24h,is_large_tx,is_local_transfer,receiver_risk_score,amt_norm,risk_score,label
789,50280703-e735-4dc9-9cd3-462b9e4abc82,2024-06-19 03:43:19,Ela Sangha,2699062014@okicici,Myra Dada,9320920760@okybl,3404.66,FAILED,u_2,3,2,0,1,Mumbai,Chennai,2019-03-02,2451,P2M,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,0.6681572475506926,-0.5797154551885406,2024-06-18 23:23:04,260.25,2024-06-19 03:43:19,0,3,0,0,0.99,0.3123276324745607,0.4895474346135523,0
27,b637de05-3938-4237-aecf-aa84b48d7241,2024-06-25 17:19:17,Kaira Tak,4023006701@okhdfcbank,Aarna Ramakrishnan,5362362942@okhdfcbank,3511.64,FAILED,u_5,17,1,0,0,Chennai,Noida,2023-10-01,777,P2P,dev_149,dev_149,0,1,100,5063.6792,2805.432779333872,100,0.25,0.17,0.6934957489618426,-0.5532263012798044,2024-06-25 06:59:11,620.1,2024-06-25 17:19:17,0,2,0,0,0.99,0.3242720768545632,0.3949224345845534,0
218,1c00d3dc-380a-4fec-bf2e-1e10cf262091,2024-06-24 20:26:09,Kashvi Dasgupta,8223200433@okicici,Nitya Arora,6840868692@okybl,3364.17,SUCCESS,u_3,20,0,0,0,Hyderabad,Jaipur,2016-10-30,3304,AutoPay,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.680575450330835,-0.5512017193417659,2024-06-24 02:52:33,1053.6,2024-06-24 20:26:09,0,2,0,0,0.99,0.3181815119128188,0.3921816803607684,0
787,82d3bdcb-cd6a-4b26-b497-06e9f3ecd469,2024-06-11 04:41:34,Kashvi Chhabra,4133254627@okaxis,Yuvaan Bajwa,5467780475@okybl,2011.83,SUCCESS,u_4,4,1,0,1,Bengaluru,Pune,2020-10-29,1844,P2P,dev_167,dev_167,0,1,100,5156.7759,2982.6455867582176,100,0.21,0.23,0.3901333000741542,-1.054414883874347,2024-06-10 23:20:26,321.1333333333333,2024-06-11 04:41:34,0,2,0,0,0.99,0.1812685172152451,0.4305708327468602,0
110,fd0468d4-cfb4-4e40-b058-e2b190628074,2024-07-01 22:58:10,Urvi Kapoor,7932416816@okaxis,Lakshit Dyal,1419381216@okaxis,6910.83,FAILED,u_2,22,0,0,0,Mumbai,Ahmedabad,2019-03-02,2451,AutoPay,dev_156,dev_156,0,1,100,5095.5969000000005,2916.8394336667425,100,0.26,0.27,1.3562356156241016,0.6223287710143441,2024-07-01 21:25:08,93.03333333333332,2024-07-01 22:58:10,0,3,0,0,0.99,0.6366843757237539,0.5355079690756892,0
710,109e7a7a-102a-4c52-aa2e-53b34a567305,2024-06-18 13:00:56,Adira Khare,1535668457@okaxis,Farhan Roy,2548007495@okaxis,4131.48,SUCCESS,u_5,13,1,0,0,Chennai,Kolkata,2023-10-01,777,QR_Payment,dev_149,dev_149,0,1,100,5063.6792,2805.432779333872,100,0.25,0.17,0.815904767265686,-0.3322835631161847,2024-06-18 05:09:41,471.25,2024-06-18 13:00:56,0,3,0,0,0.99,0.3819750833195617,0.4208887874938027,0
99,9707d0c5-c1a4-4d64-80b5-d56838682aa1,2024-07-03 09:10:10,Piya Desai,6576036219@oksbi,Divit Ben,1134818251@okhdfcbank,4536.07,FAILED,u_3,9,2,0,0,Hyderabad,Jaipur,2016-10-30,3304,QR_Payment,dev_120,dev_120,0,1,100,4943.1257000000005,2864.569620511268,100,0.31,0.27,0.9176521647188433,-0.1421001245999912,2024-07-03 04:05:41,304.4833333333333,2024-07-03 09:10:10,0,6,0,0,0.99,0.4299383037945678,0.4424722367075555,0
249,e90d6496-56de-4e00-8a7f-c001dc8cb20d,2024-06-19 17:38:34,Madhav Seshadri,4063241105@okaxis,Samaira Kakar,8058071774@okaxis,5846.95,SUCCESS,u_7,17,2,0,0,Bengaluru,Mumbai,2018-08-01,2664,P2P,dev_190,dev_190,0,1,100,5069.193,2817.2130350940874,100,0.23,0.25,1.153428168713752,0.2760731937242455,2024-06-18 21:03:26,1235.1333333333334,2024-06-19 17:38:34,0,1,0,0,0.99,0.5410819472231874,0.4924868762504343,0
146,f2c47b46-11b5-42b7-ade3-476b2f46a311,2024-06-16 20:37:19,Taran Das,8026231879@okicici,Uthkarsh Rana,4099465074@okicici,2046.96,FAILED,u_7,20,6,1,0,Bengaluru,Ahmedabad,2018-08-01,2664,P2P,dev_190,dev_190,0,1,100,5069.193,2817.2130350940874,100,0.23,0.25,0.4038039190056871,-1.0727740367348777,2024-06-16 13:50:34,406.75,2024-06-16 20:37:19,0,5,0,0,0.99,0.1877127794396894,0.3334707507478602,0
286,44a16df3-b016-4684-9761-0db12b74ea58,2024-07-03 20:57:02,Baiju Gulati,5764250189@okhdfcbank,Lakshit Sachdev,0881188606@okybl,8855.93,SUCCESS,u_9,20,2,0,0,Jaipur,Hyderabad,2019-09-11,2258,P2P,dev_169,dev_169,0,1,100,4661.1927000000005,2786.3493914808614,100,0.23,0.23,1.899927887147869,1.5054599085187312,2024-07-03 14:42:43,374.31666666666666,2024-07-03 20:57:02,0,5,0,0,0.99,0.8929782264009358,0.6508402018804211,0
